9001011200,,,
,V1,V2,V3
1,1979,0,0
2,1980,10,24251.01
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,0
7,1985,1,3965.2
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,6,20336.35
14,1992,23,458756.42
15,1993,2,0
16,1994,0,0
17,1995,0,0
18,1996,9,10522.83
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,0
27,2005,1,5289.71
28,2006,0,0
29,2007,5,17751
30,2008,1,0
31,2009,0,0
32,2010,6,36026.54
33,2011,15,484518.1
34,2012,25,1832736.59
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,179795.54
41,2019,0,0
42,2020,0,0
43,2021,11,870270.66
