9009150900,,,
,V1,V2,V3
1,1979,4,4466.78
2,1980,5,51054.06
3,1981,0,0
4,1982,5,6473.06
5,1983,0,0
6,1984,2,8862.05
7,1985,6,4941.67
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,2,12529.7
14,1992,10,109825.47
15,1993,0,0
16,1994,0,0
17,1995,2,0
18,1996,4,11543.45
19,1997,0,0
20,1998,1,3548.95
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,1,0
28,2006,0,0
29,2007,1,5652.31
30,2008,0,0
31,2009,0,0
32,2010,4,7469.02
33,2011,17,255953.34
34,2012,19,521469.19
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,7,46338.51
