,V1,V2,V3
1,1979,57,132675.89
2,1980,54,69211.24
3,1981,17,24106.33
4,1982,16,11326.51
5,1983,11,7022.2
6,1984,22,23462.34
7,1985,7,2986
8,1986,0,0
9,1987,1,2889
10,1988,4,5306.5
11,1989,0,0
12,1990,0,0
13,1991,1,1200
14,1992,61,715743.56
15,1993,20,47927.3
16,1994,2,3341.43
17,1995,1,6031.08
18,1996,17,41323.04
19,1997,0,0
20,1998,2,2895.51
21,1999,1,1612.71
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,1335.07
26,2004,1,2415.69
27,2005,0,0
28,2006,0,0
29,2007,17,57473.84
30,2008,0,0
31,2009,2,2868.13
32,2010,19,165095.51
33,2011,86,405170.96
34,2012,420,19203195.15
35,2013,0,0
36,2014,1,2108.62
37,2015,0,0
38,2016,1,0
39,2017,1,9238.54
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,16,164674.68
