,V1,V2,V3
1,1979,56,143463.68
2,1980,49,75696.32
3,1981,21,17369.96
4,1982,23,9237.52
5,1983,11,4915.44
6,1984,21,6246.06
7,1985,1,1730
8,1986,0,0
9,1987,1,0
10,1988,14,52997.4
11,1989,4,17076.41
12,1990,0,0
13,1991,0,0
14,1992,53,513421.99
15,1993,1,3618.49
16,1994,1,2475
17,1995,0,0
18,1996,16,145738.41
19,1997,0,0
20,1998,0,0
21,1999,1,5342.32
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,0
26,2004,0,0
27,2005,0,0
28,2006,1,0
29,2007,18,71847.51
30,2008,1,0
31,2009,0,0
32,2010,31,268454.63
33,2011,48,330453.27
34,2012,282,19714650.38
35,2013,0,0
36,2014,6,25063.78
37,2015,1,2465.09
38,2016,0,0
39,2017,2,0
40,2018,3,37242.37
41,2019,0,0
42,2020,0,0
43,2021,23,239761.08
