36103110801,,,
,V1,V2,V3
1,1979,2,10239.2
2,1980,5,3300
3,1981,0,0
4,1982,0,0
5,1983,1,0
6,1984,15,8349.6
7,1985,4,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,14,38067.83
14,1992,96,1312964.96
15,1993,1,664.35
16,1994,4,12707.39
17,1995,0,0
18,1996,10,85984.15
19,1997,0,0
20,1998,0,0
21,1999,1,856.4
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,3,24383.83
28,2006,1,0
29,2007,0,0
30,2008,1,3275.36
31,2009,0,0
32,2010,9,10342.53
33,2011,12,137581.17
34,2012,103,5606184.19
35,2013,0,0
36,2014,1,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,1002.24
41,2019,0,0
42,2020,0,0
43,2021,3,61524.02
