,V1,V2,V3
1,1979,1,201.59
2,1980,3,3734.42
3,1981,0,0
4,1982,0,0
5,1983,1,0
6,1984,24,95792.05
7,1985,3,3597.46
8,1986,0,0
9,1987,2,2550
10,1988,11,12799.61
11,1989,3,205
12,1990,0,0
13,1991,4,9661.72
14,1992,218,1959706.78
15,1993,2,1232.61
16,1994,3,0
17,1995,0,0
18,1996,33,157851.7
19,1997,0,0
20,1998,3,0
21,1999,8,18275.15
22,2000,0,0
23,2001,1,1757.56
24,2002,4,5789.27
25,2003,2,0
26,2004,2,4453.83
27,2005,4,21583.59
28,2006,2,0
29,2007,4,18493.73
30,2008,2,8664.53
31,2009,2,7125.27
32,2010,80,845023.79
33,2011,56,534750.7
34,2012,1070,77939961.1
35,2013,1,2241.73
36,2014,1,0
37,2015,0,0
38,2016,1,0
39,2017,1,0
40,2018,2,29948.81
41,2019,0,0
42,2020,0,0
43,2021,2,8509.11
