9011870704,,,
,V1,V2,V3
1,1979,1,0
2,1980,0,0
3,1981,0,0
4,1982,17,11757.11
5,1983,0,0
6,1984,2,0
7,1985,11,38463.28
8,1986,0,0
9,1987,0,0
10,1988,1,1948.72
11,1989,0,0
12,1990,0,0
13,1991,3,6625
14,1992,8,12015.85
15,1993,1,1779.95
16,1994,0,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,1,0
23,2001,4,17358.09
24,2002,0,0
25,2003,1,2426.18
26,2004,0,0
27,2005,6,33319.47
28,2006,0,0
29,2007,3,9160.37
30,2008,0,0
31,2009,0,0
32,2010,16,158345.85
33,2011,10,28157.81
34,2012,57,3027030.23
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,5,7228.28
