9009180100,,,
,V1,V2,V3
1,1979,25,99581.4
2,1980,72,244404.83
3,1981,1,0
4,1982,38,77081.52
5,1983,4,3008.35
6,1984,36,120253.51
7,1985,87,1392693.21
8,1986,1,0
9,1987,6,61013.49
10,1988,7,29789.52
11,1989,45,330597.5
12,1990,3,13489.87
13,1991,52,249065.34
14,1992,104,1418363.46
15,1993,5,36153.5
16,1994,3,0
17,1995,40,413182.07
18,1996,26,145993.48
19,1997,4,13003.57
20,1998,0,0
21,1999,2,17292.29
22,2000,3,6893.45
23,2001,4,43240.88
24,2002,0,0
25,2003,4,9193.09
26,2004,1,643.69
27,2005,4,37328.31
28,2006,4,116600
29,2007,24,746012.72
30,2008,5,51684.84
31,2009,1,15761.17
32,2010,10,83826.26
33,2011,250,12789166.05
34,2012,245,9702759.6
35,2013,3,1498.32
36,2014,2,23329.37
37,2015,1,2143.8
38,2016,1,0
39,2017,1,1573.85
40,2018,18,828897.97
41,2019,1,0
42,2020,2,0
43,2021,0,0
