,V1,V2,V3
1,1979,10,26637.24
2,1980,3,6419.68
3,1981,1,2953
4,1982,2,1172.06
5,1983,3,3302.7
6,1984,24,59378.74
7,1985,1,0
8,1986,0,0
9,1987,5,5119
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,8,21672.86
14,1992,63,1285491.74
15,1993,2,6439.8
16,1994,0,0
17,1995,2,0
18,1996,10,22488.98
19,1997,2,0
20,1998,4,0
21,1999,0,0
22,2000,1,0
23,2001,0,0
24,2002,0,0
25,2003,1,0
26,2004,0,0
27,2005,1,6346.89
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,4,14644.09
33,2011,11,58588.08
34,2012,241,15555004.17
35,2013,1,2622.92
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,2,0
41,2019,0,0
42,2020,0,0
43,2021,12,48872.8
