9001050500,,,
,V1,V2,V3
1,1979,6,4101.9
2,1980,33,72870.45
3,1981,0,0
4,1982,1,7122.69
5,1983,2,503.63
6,1984,8,8823.95
7,1985,3,1423.4
8,1986,0,0
9,1987,1,0
10,1988,1,3315.27
11,1989,7,38549.37
12,1990,0,0
13,1991,17,39406.67
14,1992,121,2484012.03
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,32,156943.4
19,1997,1,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,1,0
25,2003,1,0
26,2004,2,12373.42
27,2005,3,0
28,2006,10,90598.09
29,2007,11,48728.2
30,2008,2,23208.17
31,2009,0,0
32,2010,4,3270.05
33,2011,92,1536037.4
34,2012,193,9802339.92
35,2013,1,36074.51
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,13,133378.62
41,2019,0,0
42,2020,0,0
43,2021,18,199067.27
