9001044400,,,
,V1,V2,V3
1,1979,4,0
2,1980,54,136545.4
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,24,28793.5
7,1985,7,15020.18
8,1986,0,0
9,1987,0,0
10,1988,1,0
11,1989,2,3332.9
12,1990,2,7788.85
13,1991,31,113331.53
14,1992,136,2034491.92
15,1993,1,3368.42
16,1994,4,3866.69
17,1995,2,3724.17
18,1996,50,294132.13
19,1997,0,0
20,1998,1,0
21,1999,1,0
22,2000,0,0
23,2001,1,94731.72
24,2002,1,8714.34
25,2003,1,0
26,2004,0,0
27,2005,1,674.85
28,2006,6,33464.24
29,2007,19,95179.43
30,2008,0,0
31,2009,2,6918.66
32,2010,22,191215.18
33,2011,124,2229915.99
34,2012,283,13371711.88
35,2013,0,0
36,2014,1,4180.65
37,2015,0,0
38,2016,0,0
39,2017,2,43539.49
40,2018,10,72439.28
41,2019,0,0
42,2020,0,0
43,2021,6,4566.55
