36059518201,,,
,V1,V2,V3
1,1979,4,5558.48
2,1980,3,4455.5
3,1981,0,0
4,1982,1,1507.98
5,1983,2,3244
6,1984,5,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,1,0
11,1989,0,0
12,1990,0,0
13,1991,1,1965
14,1992,3,35351.65
15,1993,0,0
16,1994,1,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,2,0
24,2002,0,0
25,2003,1,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,3,9690.04
30,2008,1,0
31,2009,1,16434.15
32,2010,3,20377.71
33,2011,2,12107.2
34,2012,3,590849.57
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,4,0
