36059300100,,,
,V1,V2,V3
1,1979,8,37771.86
2,1980,9,32296.4
3,1981,2,2595.95
4,1982,3,26004.28
5,1983,3,7744.66
6,1984,12,89054.05
7,1985,2,0
8,1986,0,0
9,1987,1,4040.32
10,1988,1,0
11,1989,1,9682.9
12,1990,1,0
13,1991,2,4345.18
14,1992,26,232554.46
15,1993,0,0
16,1994,2,0
17,1995,0,0
18,1996,2,18540.28
19,1997,0,0
20,1998,0,0
21,1999,4,7472.34
22,2000,1,0
23,2001,1,102772.97
24,2002,0,0
25,2003,3,2465.01
26,2004,1,0
27,2005,0,0
28,2006,0,0
29,2007,7,133715.3
30,2008,4,13370.61
31,2009,1,23915.44
32,2010,7,28673.92
33,2011,7,61864.85
34,2012,21,717553.61
35,2013,0,0
36,2014,4,36546.2
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,4,11171.15
41,2019,1,0
42,2020,1,0
43,2021,28,1080320.13
