9001022300,,,
,V1,V2,V3
1,1979,0,0
2,1980,8,63057.35
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,1497.87
7,1985,2,2158.29
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,0
14,1992,23,190097.73
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,4,3345.43
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,0
24,2002,0,0
25,2003,1,5903.49
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,3,14015.17
30,2008,0,0
31,2009,1,0
32,2010,5,15401.91
33,2011,19,259072.55
34,2012,50,2240299.72
35,2013,0,0
36,2014,1,15498.45
37,2015,0,0
38,2016,1,7133.53
39,2017,0,0
40,2018,2,10620.04
41,2019,0,0
42,2020,0,0
43,2021,8,87716.43
