,V1,V2,V3
1,1979,13,33571.22
2,1980,22,39520.07
3,1981,9,1468.1
4,1982,0,0
5,1983,9,16372.67
6,1984,3,7025.51
7,1985,2,6104.76
8,1986,0,0
9,1987,0,0
10,1988,6,9311.74
11,1989,0,0
12,1990,1,0
13,1991,1,777.06
14,1992,18,238509.95
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,1,4810.22
19,1997,0,0
20,1998,1,0
21,1999,0,0
22,2000,0,0
23,2001,1,0
24,2002,3,5168.88
25,2003,1,0
26,2004,3,0
27,2005,2,3115.31
28,2006,1,2718.42
29,2007,8,71291.43
30,2008,1,0
31,2009,1,0
32,2010,10,11819.41
33,2011,73,421241.65
34,2012,289,13768937.62
35,2013,0,0
36,2014,1,0
37,2015,8,17772.43
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,20,140072.75
