9009155000,,,
,V1,V2,V3
1,1979,2,297
2,1980,2,60300
3,1981,0,0
4,1982,13,21052.74
5,1983,0,0
6,1984,0,0
7,1985,3,0
8,1986,0,0
9,1987,1,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,1038.52
14,1992,2,1138.2
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,11,10133.92
19,1997,0,0
20,1998,1,23304.84
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,2,5720.45
27,2005,2,2229.73
28,2006,0,0
29,2007,2,1520.06
30,2008,0,0
31,2009,0,0
32,2010,2,14380.2
33,2011,27,245159.44
34,2012,39,487897.53
35,2013,0,0
36,2014,1,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,3,54461.72
