,V1,V2,V3
1,1979,2,2274
2,1980,5,9372.34
3,1981,0,0
4,1982,0,0
5,1983,5,1740.19
6,1984,2,225.8
7,1985,10,29278.86
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,2,4430.31
12,1990,3,6514.56
13,1991,3,37247.04
14,1992,2,38207.07
15,1993,0,0
16,1994,0,0
17,1995,1,2673.2
18,1996,2,36353.39
19,1997,0,0
20,1998,1,3036.5
21,1999,1,10888.6
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,1,3599.37
26,2004,0,0
27,2005,1,6402.39
28,2006,0,0
29,2007,0,0
30,2008,1,2563.55
31,2009,0,0
32,2010,0,0
33,2011,3,39737.99
34,2012,27,8589610.05
35,2013,0,0
36,2014,1,0
37,2015,1,0
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,1,0
