,V1,V2,V3
1,1979,0,0
2,1980,2,0
3,1981,1,0
4,1982,0,0
5,1983,1,4002.57
6,1984,167,311237.01
7,1985,9,7824.67
8,1986,0,0
9,1987,10,11346.35
10,1988,0,0
11,1989,1,675
12,1990,0,0
13,1991,21,82540.76
14,1992,391,5034979.86
15,1993,3,0
16,1994,3,2143
17,1995,0,0
18,1996,11,47178.25
19,1997,0,0
20,1998,5,21928.36
21,1999,3,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,0
26,2004,1,0
27,2005,7,55147.96
28,2006,1,1626.57
29,2007,2,6602.22
30,2008,0,0
31,2009,1,0
32,2010,16,92872.29
33,2011,279,4799192.82
34,2012,787,63112459.27
35,2013,3,0
36,2014,0,0
37,2015,2,0
38,2016,0,0
39,2017,1,0
40,2018,1,14546.5
41,2019,1,0
42,2020,1,0
43,2021,0,0
