36103170202,,,
,V1,V2,V3
1,1979,3,916
2,1980,0,0
3,1981,0,0
4,1982,9,13283.65
5,1983,0,0
6,1984,12,3641.2
7,1985,2,255.43
8,1986,0,0
9,1987,0,0
10,1988,1,0
11,1989,2,0
12,1990,2,0
13,1991,15,20682.08
14,1992,56,398883.35
15,1993,1,11418.18
16,1994,4,1650.01
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,1,675.55
21,1999,1,0
22,2000,0,0
23,2001,1,1732.89
24,2002,0,0
25,2003,0,0
26,2004,1,0
27,2005,14,94579.28
28,2006,1,0
29,2007,1,864.99
30,2008,0,0
31,2009,0,0
32,2010,13,54185.84
33,2011,3,5953.46
34,2012,130,4191342.76
35,2013,0,0
36,2014,0,0
37,2015,1,0
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,1,0
