36103170001,,,
,V1,V2,V3
1,1979,1,0
2,1980,0,0
3,1981,0,0
4,1982,1,0
5,1983,2,0
6,1984,20,76881.14
7,1985,6,18408.92
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,16,26067.74
14,1992,48,666276.46
15,1993,0,0
16,1994,7,36188.82
17,1995,1,0
18,1996,5,12324.19
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,1,867.2
26,2004,0,0
27,2005,12,101332.31
28,2006,0,0
29,2007,13,163430.86
30,2008,1,0
31,2009,0,0
32,2010,18,91934.15
33,2011,13,126636.82
34,2012,87,3209049.9
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,6531.55
40,2018,2,12000
41,2019,0,0
42,2020,0,0
43,2021,0,0
