36059301101,,,
,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,1,298.23
4,1982,0,0
5,1983,0,0
6,1984,0,0
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,9,135357.06
15,1993,1,0
16,1994,1,932.85
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,2,4857.98
22,2000,0,0
23,2001,1,0
24,2002,1,0
25,2003,0,0
26,2004,1,0
27,2005,1,0
28,2006,1,0
29,2007,0,0
30,2008,0,0
31,2009,1,0
32,2010,5,26877.28
33,2011,5,2522.2
34,2012,10,134618.68
35,2013,0,0
36,2014,1,0
37,2015,1,843.95
38,2016,0,0
39,2017,1,0
40,2018,1,0
41,2019,1,0
42,2020,1,0
43,2021,5,390020.5
