36119007100,,,
,V1,V2,V3
1,1979,12,21115.46
2,1980,11,27957.59
3,1981,0,0
4,1982,2,5396.15
5,1983,5,7511.48
6,1984,4,36069.74
7,1985,1,0
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,2,336.17
13,1991,2,17728.29
14,1992,42,611056.78
15,1993,0,0
16,1994,3,1261.39
17,1995,0,0
18,1996,26,117242.1
19,1997,0,0
20,1998,2,11094.34
21,1999,3,6047.88
22,2000,0,0
23,2001,3,21994.5
24,2002,2,4803.52
25,2003,1,0
26,2004,6,45598.14
27,2005,0,0
28,2006,4,25094.4
29,2007,41,416572.88
30,2008,1,4904.62
31,2009,2,2282.22
32,2010,8,62260.41
33,2011,28,269446.58
34,2012,66,2765961.93
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,7,50140.73
41,2019,1,0
42,2020,0,0
43,2021,102,2982361.83
