,V1,V2,V3
1,1979,31,62996.79
2,1980,27,33187.58
3,1981,13,14762.67
4,1982,7,5304
5,1983,3,3335
6,1984,5,7737.69
7,1985,1,11184.8
8,1986,0,0
9,1987,0,0
10,1988,1,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,2,0
15,1993,1,5122.49
16,1994,3,20164.05
17,1995,1,0
18,1996,1,2343.82
19,1997,0,0
20,1998,0,0
21,1999,1,2631.38
22,2000,0,0
23,2001,0,0
24,2002,1,30673.44
25,2003,1,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,2,0
30,2008,1,6706.8
31,2009,2,4004.31
32,2010,9,527781.99
33,2011,6,191776.46
34,2012,26,5062758.3
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,20,1428244.69
