9001061600,,,
,V1,V2,V3
1,1979,2,420.91
2,1980,35,100591.49
3,1981,0,0
4,1982,1,0
5,1983,1,0
6,1984,23,45910.89
7,1985,18,29470.41
8,1986,0,0
9,1987,0,0
10,1988,2,847.25
11,1989,1,0
12,1990,0,0
13,1991,12,30643.99
14,1992,164,3075707.75
15,1993,1,3373.5
16,1994,3,5381.05
17,1995,9,120119.16
18,1996,35,267295.46
19,1997,0,0
20,1998,2,0
21,1999,0,0
22,2000,2,0
23,2001,0,0
24,2002,0,0
25,2003,2,0
26,2004,2,0
27,2005,6,22240.77
28,2006,3,6141.12
29,2007,12,16690.48
30,2008,0,0
31,2009,1,1082.04
32,2010,25,146783.23
33,2011,102,1926374.91
34,2012,392,11748192.75
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,7191.41
40,2018,4,4834.23
41,2019,0,0
42,2020,0,0
43,2021,0,0
