36119007000,,,
,V1,V2,V3
1,1979,9,13611.35
2,1980,10,34981.38
3,1981,0,0
4,1982,8,10975.63
5,1983,5,2426.75
6,1984,5,16843.08
7,1985,1,1108
8,1986,1,3294.66
9,1987,0,0
10,1988,0,0
11,1989,2,9118.91
12,1990,0,0
13,1991,1,4840
14,1992,4,24256.01
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,4,23032.68
19,1997,0,0
20,1998,3,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,1,1721.23
29,2007,14,440015.38
30,2008,0,0
31,2009,1,3069.36
32,2010,5,19649.93
33,2011,10,66295.96
34,2012,9,305730.34
35,2013,0,0
36,2014,4,9823.65
37,2015,0,0
38,2016,0,0
39,2017,1,1023.45
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,40,1316468.38
