9007670200,,,
,V1,V2,V3
1,1979,4,2832.37
2,1980,1,0
3,1981,0,0
4,1982,44,114982.8
5,1983,2,896.6
6,1984,7,1626.47
7,1985,35,44252.3
8,1986,1,0
9,1987,0,0
10,1988,1,575
11,1989,0,0
12,1990,1,524.6
13,1991,18,56321.52
14,1992,15,113060.94
15,1993,2,2618.72
16,1994,0,0
17,1995,1,5167.19
18,1996,3,0
19,1997,0,0
20,1998,1,0
21,1999,1,0
22,2000,3,3813.23
23,2001,9,10672.51
24,2002,0,0
25,2003,1,0
26,2004,2,0
27,2005,9,30868.84
28,2006,0,0
29,2007,4,26626.45
30,2008,0,0
31,2009,1,1805.87
32,2010,37,169619.33
33,2011,62,1274655.5
34,2012,143,4595531.03
35,2013,0,0
36,2014,1,2752.96
37,2015,0,0
38,2016,1,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,3,21790.29
