36005011800,,,
,V1,V2,V3
1,1979,4,2778
2,1980,44,59135.55
3,1981,1,0
4,1982,1,0
5,1983,1,0
6,1984,13,12676.15
7,1985,1,305.94
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,610
12,1990,0,0
13,1991,14,57911.69
14,1992,80,1050253.41
15,1993,2,0
16,1994,1,1878.86
17,1995,0,0
18,1996,44,392441.47
19,1997,1,3758.88
20,1998,0,0
21,1999,3,3057.97
22,2000,0,0
23,2001,0,0
24,2002,2,0
25,2003,0,0
26,2004,0,0
27,2005,6,16516.04
28,2006,0,0
29,2007,8,50484.61
30,2008,1,2602.86
31,2009,0,0
32,2010,28,231313.89
33,2011,33,308314.03
34,2012,146,3334520.49
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,7,82678.29
41,2019,0,0
42,2020,0,0
43,2021,27,330430.56
