,V1,V2,V3
1,1979,4,12556.65
2,1980,2,1865.36
3,1981,0,0
4,1982,0,0
5,1983,2,0
6,1984,2,1328.56
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,1,3021
11,1989,1,0
12,1990,0,0
13,1991,0,0
14,1992,4,46372.9
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,3,7742.71
19,1997,0,0
20,1998,0,0
21,1999,2,3647.91
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,3,22273.03
30,2008,0,0
31,2009,0,0
32,2010,16,185026.57
33,2011,16,189183.26
34,2012,93,6689759.91
35,2013,0,0
36,2014,0,0
37,2015,1,615.71
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,1,0
42,2020,0,0
43,2021,7,233918.42
