9007610200,,,
,V1,V2,V3
1,1979,5,275
2,1980,0,0
3,1981,0,0
4,1982,10,15594.31
5,1983,0,0
6,1984,2,206.31
7,1985,43,201023.52
8,1986,0,0
9,1987,0,0
10,1988,1,0
11,1989,2,878.35
12,1990,0,0
13,1991,1,705.1
14,1992,11,63792.19
15,1993,0,0
16,1994,0,0
17,1995,2,6906.12
18,1996,1,0
19,1997,0,0
20,1998,0,0
21,1999,1,0
22,2000,1,0
23,2001,3,4107.29
24,2002,1,0
25,2003,1,17702.44
26,2004,0,0
27,2005,2,0
28,2006,2,5321.72
29,2007,7,3845.57
30,2008,0,0
31,2009,0,0
32,2010,10,27905.27
33,2011,79,2667218.76
34,2012,86,2215387.58
35,2013,1,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,1,0
41,2019,1,0
42,2020,0,0
43,2021,1,22393.79
