9009155100,,,
,V1,V2,V3
1,1979,3,2072
2,1980,0,0
3,1981,1,0
4,1982,10,12333.85
5,1983,1,381
6,1984,0,0
7,1985,1,426
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,0
14,1992,3,36177.43
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,3,12898.38
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,1,0
23,2001,0,0
24,2002,1,0
25,2003,0,0
26,2004,1,0
27,2005,2,4779.89
28,2006,0,0
29,2007,1,26331.02
30,2008,0,0
31,2009,0,0
32,2010,1,3795.44
33,2011,15,149851.64
34,2012,33,609428.24
35,2013,1,0
36,2014,1,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,6,7710.91
