9011705300,,,
,V1,V2,V3
1,1979,2,0
2,1980,1,0
3,1981,0,0
4,1982,9,8029.79
5,1983,1,0
6,1984,0,0
7,1985,4,3086.75
8,1986,0,0
9,1987,1,3131.43
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,9,35091.1
14,1992,2,322.5
15,1993,0,0
16,1994,2,1025.24
17,1995,0,0
18,1996,1,8638.04
19,1997,0,0
20,1998,1,1500.44
21,1999,1,1112.1
22,2000,0,0
23,2001,1,0
24,2002,1,6218.01
25,2003,0,0
26,2004,1,0
27,2005,9,103066.99
28,2006,0,0
29,2007,2,0
30,2008,0,0
31,2009,7,69319.52
32,2010,31,175229.7
33,2011,7,70358.88
34,2012,65,1650177
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,1,0
42,2020,0,0
43,2021,0,0
