9001022400,,,
,V1,V2,V3
1,1979,0,0
2,1980,26,144237.53
3,1981,0,0
4,1982,0,0
5,1983,1,0
6,1984,10,65836.99
7,1985,5,69637.72
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,3,2370.5
14,1992,57,1469082.7
15,1993,1,84658.97
16,1994,0,0
17,1995,0,0
18,1996,37,627991.23
19,1997,1,1043.08
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,2,27359.34
28,2006,5,178224.98
29,2007,3,12202.85
30,2008,0,0
31,2009,0,0
32,2010,14,430729
33,2011,31,339399.87
34,2012,102,6959602.76
35,2013,0,0
36,2014,1,5452
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,1,54627.56
41,2019,0,0
42,2020,0,0
43,2021,4,13854.02
