36119005902,,,
,V1,V2,V3
1,1979,4,2366.4
2,1980,11,85525.29
3,1981,1,2883.36
4,1982,2,2520.8
5,1983,4,6481.21
6,1984,6,16847.98
7,1985,1,0
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,2102.1
14,1992,15,332975.49
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,16,210575.31
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,12511.72
24,2002,1,194811.49
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,6,67578.35
30,2008,0,0
31,2009,0,0
32,2010,21,302546.48
33,2011,10,446778.72
34,2012,40,2840391.09
35,2013,0,0
36,2014,1,0
37,2015,0,0
38,2016,1,0
39,2017,0,0
40,2018,6,363229.33
41,2019,0,0
42,2020,0,0
43,2021,11,93378.28
