36059517902,,,
,V1,V2,V3
1,1979,3,3043.5
2,1980,41,52668.75
3,1981,0,0
4,1982,1,1552.16
5,1983,1,407.33
6,1984,33,31568.77
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,1,1000
11,1989,2,286.25
12,1990,1,0
13,1991,16,96108.73
14,1992,321,5550422.73
15,1993,3,3885
16,1994,2,2797.41
17,1995,0,0
18,1996,182,1720157.73
19,1997,1,0
20,1998,0,0
21,1999,3,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,8937.83
26,2004,1,12970.2
27,2005,68,377485.34
28,2006,1,6509.15
29,2007,0,0
30,2008,1,860.62
31,2009,3,60293.76
32,2010,24,96064.25
33,2011,51,504632.38
34,2012,420,13071906.62
35,2013,1,0
36,2014,3,17022.37
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,2,30489.87
41,2019,3,0
42,2020,2,7955.5
43,2021,23,106856.86
