9007680100,,,
,V1,V2,V3
1,1979,6,318.64
2,1980,2,301.3
3,1981,0,0
4,1982,50,113422.95
5,1983,2,0
6,1984,5,3200
7,1985,65,263304.69
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,3,1571.44
13,1991,11,42479.62
14,1992,22,47766.31
15,1993,3,19318.73
16,1994,0,0
17,1995,3,14820.76
18,1996,4,592.64
19,1997,1,0
20,1998,1,5303.52
21,1999,0,0
22,2000,1,0
23,2001,1,0
24,2002,1,0
25,2003,2,0
26,2004,1,0
27,2005,5,25185.67
28,2006,0,0
29,2007,3,0
30,2008,0,0
31,2009,1,4714.15
32,2010,20,126903.07
33,2011,130,3454108.48
34,2012,149,4802069.84
35,2013,0,0
36,2014,2,22760.35
37,2015,0,0
38,2016,1,0
39,2017,0,0
40,2018,2,24393.8
41,2019,0,0
42,2020,1,0
43,2021,1,7605.72
