36103169701,,,
,V1,V2,V3
1,1979,2,5002.34
2,1980,1,3015.5
3,1981,1,338.26
4,1982,2,3600
5,1983,0,0
6,1984,5,597
7,1985,1,1984.23
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,0
13,1991,5,6244.37
14,1992,15,239077
15,1993,0,0
16,1994,2,0
17,1995,0,0
18,1996,1,1004.06
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,1,0
25,2003,0,0
26,2004,0,0
27,2005,1,24764.49
28,2006,0,0
29,2007,0,0
30,2008,1,4494.04
31,2009,0,0
32,2010,0,0
33,2011,3,27218
34,2012,24,437512.47
35,2013,0,0
36,2014,2,285.59
37,2015,0,0
38,2016,0,0
39,2017,2,4882.93
40,2018,3,99939.48
41,2019,0,0
42,2020,0,0
43,2021,0,0
