36059301500,,,
,V1,V2,V3
1,1979,2,8077.96
2,1980,1,160
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,0,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,5,73352.52
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,1,3172.2
19,1997,0,0
20,1998,2,0
21,1999,1,3817.68
22,2000,0,0
23,2001,1,3994.06
24,2002,1,0
25,2003,0,0
26,2004,0,0
27,2005,1,3882.57
28,2006,1,0
29,2007,1,4108.51
30,2008,1,0
31,2009,0,0
32,2010,2,18041.05
33,2011,1,2932.71
34,2012,3,33442.94
35,2013,0,0
36,2014,1,14816.71
37,2015,0,0
38,2016,0,0
39,2017,1,6528.54
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,3,68025.3
