36103110102,,,
,V1,V2,V3
1,1979,2,656.69
2,1980,0,0
3,1981,1,503.37
4,1982,0,0
5,1983,2,259
6,1984,0,0
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,0,0
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,1,4011.86
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,1,0
32,2010,0,0
33,2011,3,30446.87
34,2012,1,42508.87
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,2,22968.22
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,5,33467.3
