,V1,V2,V3
1,1979,88,224706.95
2,1980,65,120098.96
3,1981,19,17406.86
4,1982,9,10656.24
5,1983,14,9160.61
6,1984,19,11735.7
7,1985,2,10622.07
8,1986,1,0
9,1987,1,1450.4
10,1988,9,15465
11,1989,4,4784.26
12,1990,1,1288.32
13,1991,0,0
14,1992,29,332126.67
15,1993,6,20872.17
16,1994,0,0
17,1995,0,0
18,1996,15,52497.95
19,1997,0,0
20,1998,2,2770.22
21,1999,2,2235.95
22,2000,0,0
23,2001,1,0
24,2002,0,0
25,2003,2,1811.69
26,2004,2,4782.75
27,2005,0,0
28,2006,0,0
29,2007,14,67919.26
30,2008,1,3977.65
31,2009,0,0
32,2010,7,27174.46
33,2011,48,238275.58
34,2012,281,14639249.23
35,2013,1,0
36,2014,1,8138.39
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,5756.38
41,2019,0,0
42,2020,1,0
43,2021,34,412548.48
