9001080500,,,
,V1,V2,V3
1,1979,8,7294.14
2,1980,35,137979.07
3,1981,0,0
4,1982,0,0
5,1983,1,907.75
6,1984,17,46652.4
7,1985,16,77777.18
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,9,32667.44
12,1990,1,0
13,1991,5,21231.91
14,1992,83,1609379.02
15,1993,3,8297.5
16,1994,3,17460.9
17,1995,6,32399.29
18,1996,16,126053.63
19,1997,1,0
20,1998,0,0
21,1999,1,3812.06
22,2000,0,0
23,2001,0,0
24,2002,1,4996.62
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,2,53538.59
29,2007,2,29126.24
30,2008,2,25744.03
31,2009,0,0
32,2010,5,59731.94
33,2011,49,1124757.32
34,2012,84,2694516.9
35,2013,1,32945.6
36,2014,0,0
37,2015,1,31745.11
38,2016,0,0
39,2017,1,23073.25
40,2018,4,31398.56
41,2019,1,13239.69
42,2020,0,0
43,2021,1,6874.39
