,V1,V2,V3
1,1979,2,1258.02
2,1980,1,200
3,1981,0,0
4,1982,1,0
5,1983,0,0
6,1984,1,5000
7,1985,0,0
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,4,1611.65
15,1993,1,743.5
16,1994,1,3368.49
17,1995,0,0
18,1996,1,30671.66
19,1997,1,4037.19
20,1998,0,0
21,1999,3,7013.05
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,17909.46
27,2005,0,0
28,2006,0,0
29,2007,3,71062.16
30,2008,0,0
31,2009,0,0
32,2010,2,13704.13
33,2011,2,28083.22
34,2012,3,376136.25
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,0,0
