,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,0
13,1991,1,30238.28
14,1992,3,408384.62
15,1993,1,1183.04
16,1994,0,0
17,1995,1,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,3,13614.88
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,12146.2
26,2004,1,5909.86
27,2005,0,0
28,2006,1,5943.33
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,2,378521.16
33,2011,3,151382.88
34,2012,8,1131435.57
35,2013,0,0
36,2014,0,0
37,2015,1,20590.09
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,0,0
