36059517400,,,
,V1,V2,V3
1,1979,6,12141.72
2,1980,2,2606.74
3,1981,1,1609.78
4,1982,0,0
5,1983,1,1742.59
6,1984,1,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,2,2154.95
14,1992,1,8829.23
15,1993,0,0
16,1994,1,2679.32
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,1,9710.55
25,2003,0,0
26,2004,1,4774.22
27,2005,0,0
28,2006,0,0
29,2007,1,32699.31
30,2008,3,14845.72
31,2009,0,0
32,2010,4,23057.74
33,2011,3,22592.35
34,2012,3,51204.63
35,2013,0,0
36,2014,1,20000
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,0,0
