,V1,V2,V3
1,1979,26,55499.97
2,1980,12,29663.61
3,1981,3,1023.89
4,1982,1,0
5,1983,3,3637
6,1984,3,1150.84
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,0,0
14,1992,1,1876.75
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,2,9492.85
30,2008,0,0
31,2009,0,0
32,2010,1,0
33,2011,2,15456.65
34,2012,7,1038099.23
35,2013,0,0
36,2014,0,0
37,2015,1,1021.84
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,1,15783.36
