,V1,V2,V3
1,1979,189,603431.08
2,1980,182,301148.72
3,1981,53,58054.21
4,1982,17,21043.61
5,1983,79,84163.62
6,1984,14,7879.04
7,1985,4,1113
8,1986,0,0
9,1987,0,0
10,1988,16,38679.34
11,1989,5,0
12,1990,1,0
13,1991,9,41561.1
14,1992,10,22065.04
15,1993,1,6817.48
16,1994,4,3199.62
17,1995,1,5289.23
18,1996,13,74865.69
19,1997,2,36824.16
20,1998,3,7293.05
21,1999,4,1616.55
22,2000,1,1495.05
23,2001,1,0
24,2002,0,0
25,2003,2,4110.43
26,2004,5,1721.9
27,2005,1,3429.5
28,2006,0,0
29,2007,8,30674.91
30,2008,1,8902.15
31,2009,1,0
32,2010,6,22136.73
33,2011,56,342958.86
34,2012,266,11146869.92
35,2013,0,0
36,2014,4,5643.13
37,2015,2,14303.35
38,2016,0,0
39,2017,2,1831.76
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,22,225090.83
