36005051600,,,
,V1,V2,V3
1,1979,4,963.16
2,1980,13,15809.46
3,1981,0,0
4,1982,1,0
5,1983,1,0
6,1984,4,1014.24
7,1985,0,0
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,15412
14,1992,60,440205.65
15,1993,3,15484.5
16,1994,0,0
17,1995,0,0
18,1996,11,195347.45
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,0
24,2002,3,1067.73
25,2003,1,0
26,2004,0,0
27,2005,3,0
28,2006,1,0
29,2007,6,28386.16
30,2008,0,0
31,2009,0,0
32,2010,9,59440.34
33,2011,14,119410.82
34,2012,92,1633578.89
35,2013,0,0
36,2014,3,11914.01
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,14,189445.29
