,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,0
7,1985,0,0
8,1986,0,0
9,1987,1,12357
10,1988,0,0
11,1989,1,11210
12,1990,0,0
13,1991,2,5024.19
14,1992,5,220069.64
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,1,24848.18
19,1997,0,0
20,1998,0,0
21,1999,1,10567.2
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,1,0
26,2004,1,14204.22
27,2005,0,0
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,4,29122.83
33,2011,1,21065.12
34,2012,18,3955437.14
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,437410.19
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,11,272682.83
