36005013800,,,
,V1,V2,V3
1,1979,4,5325
2,1980,6,12887.61
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,3793.5
7,1985,2,2446
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,3,12469.36
14,1992,24,203107.01
15,1993,1,27584.69
16,1994,0,0
17,1995,0,0
18,1996,7,20049.97
19,1997,0,0
20,1998,0,0
21,1999,1,0
22,2000,1,0
23,2001,1,0
24,2002,1,0
25,2003,1,1121.45
26,2004,0,0
27,2005,4,1382.62
28,2006,1,10683.31
29,2007,5,0
30,2008,1,0
31,2009,0,0
32,2010,15,99942.59
33,2011,7,44841.3
34,2012,71,1138313.16
35,2013,0,0
36,2014,1,2622.07
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,2,73823.17
41,2019,2,3317.38
42,2020,0,0
43,2021,4,21677.64
