,V1,V2,V3
1,1979,1,54231.77
2,1980,1,0
3,1981,0,0
4,1982,0,0
5,1983,1,21366.91
6,1984,4,38494.88
7,1985,2,2101.85
8,1986,1,3661.34
9,1987,1,10595.45
10,1988,0,0
11,1989,1,16263
12,1990,0,0
13,1991,0,0
14,1992,2,5602.43
15,1993,2,23572
16,1994,2,3310
17,1995,1,0
18,1996,2,56979.99
19,1997,1,18413.1
20,1998,1,5512.3
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,1,17846.93
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,2,71709.05
32,2010,5,114865.99
33,2011,4,133839.09
34,2012,25,1709118.94
35,2013,1,9138.4
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,71985.53
41,2019,1,0
42,2020,0,0
43,2021,0,0
