9009142800,,,
,V1,V2,V3
1,1979,11,19162.76
2,1980,4,9211.16
3,1981,0,0
4,1982,29,88232.04
5,1983,3,494.5
6,1984,0,0
7,1985,2,19530.67
8,1986,0,0
9,1987,1,822.83
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,12,21668.26
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,25,67373.44
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,4,716.87
26,2004,5,4675.56
27,2005,22,94220.68
28,2006,1,0
29,2007,4,21519.58
30,2008,3,1709.21
31,2009,0,0
32,2010,14,91972.11
33,2011,11,90250.92
34,2012,19,244381.89
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,1,5077.12
41,2019,1,0
42,2020,0,0
43,2021,7,22760.36
