,V1,V2,V3
1,1979,165,400835.65
2,1980,129,205023.34
3,1981,42,42814.86
4,1982,15,9234.68
5,1983,34,37993.02
6,1984,20,12386.23
7,1985,7,2300
8,1986,0,0
9,1987,1,658.6
10,1988,13,16272.2
11,1989,3,0
12,1990,2,0
13,1991,3,0
14,1992,20,45914.29
15,1993,0,0
16,1994,6,1302.55
17,1995,0,0
18,1996,21,76688.28
19,1997,5,7468.71
20,1998,0,0
21,1999,8,23870.71
22,2000,1,0
23,2001,1,0
24,2002,2,8712.23
25,2003,4,16749.42
26,2004,10,39602.57
27,2005,0,0
28,2006,2,0
29,2007,48,326816.31
30,2008,2,2939.18
31,2009,0,0
32,2010,22,82941.55
33,2011,147,1007767.74
34,2012,811,45899310.51
35,2013,4,33452.15
36,2014,4,16287.88
37,2015,0,0
38,2016,0,0
39,2017,3,24478.7
40,2018,3,4996.75
41,2019,0,0
42,2020,0,0
43,2021,23,175239.11
