36103170002,,,
,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,14,18932.66
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,1680
12,1990,0,0
13,1991,16,61641.65
14,1992,39,426896.27
15,1993,2,15653.43
16,1994,13,131497.54
17,1995,1,0
18,1996,2,13127.59
19,1997,0,0
20,1998,3,3962.92
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,1,0
25,2003,1,3161.64
26,2004,0,0
27,2005,10,24939.62
28,2006,3,38519.68
29,2007,4,36242.34
30,2008,0,0
31,2009,0,0
32,2010,17,104010.66
33,2011,2,0
34,2012,76,2250253.46
35,2013,1,5442.86
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,7218.99
40,2018,1,68371.27
41,2019,0,0
42,2020,0,0
43,2021,0,0
