,V1,V2,V3
1,1979,1,0
2,1980,2,300
3,1981,0,0
4,1982,1,2163.15
5,1983,0,0
6,1984,3,0
7,1985,1,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,5,1269.77
12,1990,0,0
13,1991,4,3121.28
14,1992,10,83946.99
15,1993,0,0
16,1994,2,0
17,1995,3,8117.47
18,1996,9,40255.61
19,1997,1,0
20,1998,0,0
21,1999,3,4505.28
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,1365.68
27,2005,2,4865.25
28,2006,0,0
29,2007,4,13620.32
30,2008,1,1683.8
31,2009,1,2065.42
32,2010,2,15882.52
33,2011,36,486820.22
34,2012,60,1988487.87
35,2013,1,0
36,2014,2,3773.84
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,3,15290.58
41,2019,0,0
42,2020,0,0
43,2021,53,1447432.88
