9001044600,,,
,V1,V2,V3
1,1979,5,3425.31
2,1980,30,57550.7
3,1981,0,0
4,1982,0,0
5,1983,3,1000
6,1984,8,68293.47
7,1985,9,25384.56
8,1986,0,0
9,1987,1,7285.12
10,1988,0,0
11,1989,3,5554.9
12,1990,0,0
13,1991,17,158943.74
14,1992,111,1487649.02
15,1993,1,0
16,1994,3,210
17,1995,1,0
18,1996,23,143137.69
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,2486.87
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,8,81437.51
29,2007,12,31798.72
30,2008,3,13786.05
31,2009,0,0
32,2010,6,36406.44
33,2011,70,1085238.66
34,2012,207,10666438.67
35,2013,2,9363.49
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,8,110438.86
41,2019,0,0
42,2020,0,0
43,2021,9,160107.64
