9007670100,,,
,V1,V2,V3
1,1979,2,3694.95
2,1980,1,2068
3,1981,0,0
4,1982,28,49949.91
5,1983,8,15594.03
6,1984,4,6584.79
7,1985,41,246666.76
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,2500
13,1991,11,111833.65
14,1992,9,264635.77
15,1993,1,1109.81
16,1994,2,13371.93
17,1995,2,15468.6
18,1996,1,1130.84
19,1997,0,0
20,1998,1,1777.59
21,1999,0,0
22,2000,0,0
23,2001,4,4633.65
24,2002,1,332.15
25,2003,1,0
26,2004,1,0
27,2005,5,43183.46
28,2006,0,0
29,2007,2,29959.8
30,2008,0,0
31,2009,2,911.71
32,2010,9,32664.22
33,2011,81,1878576.09
34,2012,154,5407267.56
35,2013,1,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,190.56
40,2018,2,58838.37
41,2019,1,59203.38
42,2020,0,0
43,2021,3,8333.58
