,V1,V2,V3
1,1979,23,76135.1
2,1980,18,19871.11
3,1981,2,2360.1
4,1982,2,2957.01
5,1983,6,6518.1
6,1984,4,2863
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,343.75
12,1990,0,0
13,1991,0,0
14,1992,1,0
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,0
27,2005,0,0
28,2006,1,3802.52
29,2007,2,0
30,2008,0,0
31,2009,0,0
32,2010,3,33919.47
33,2011,8,64932.68
34,2012,20,492279.43
35,2013,0,0
36,2014,2,10283.36
37,2015,2,12229.91
38,2016,1,0
39,2017,0,0
40,2018,0,0
41,2019,2,15079.5
42,2020,0,0
43,2021,14,312640.28
