36103201004,,,
,V1,V2,V3
1,1979,0,0
2,1980,1,22500
3,1981,0,0
4,1982,7,24735.21
5,1983,5,29175.01
6,1984,2,11133.25
7,1985,2,970
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,0
13,1991,27,194298.53
14,1992,6,40
15,1993,0,0
16,1994,8,4062.9
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,1,0
21,1999,0,0
22,2000,1,7088.71
23,2001,10,46175.1
24,2002,2,0
25,2003,1,0
26,2004,2,1793.64
27,2005,12,73238.39
28,2006,4,33588.08
29,2007,3,16544.42
30,2008,0,0
31,2009,2,45392.36
32,2010,43,426939.24
33,2011,2,38922.4
34,2012,73,1305679.76
35,2013,0,0
36,2014,2,3919.63
37,2015,5,30083.52
38,2016,0,0
39,2017,0,0
40,2018,3,21225.01
41,2019,2,13825.67
42,2020,1,18375.37
43,2021,9,199673.34
