9001050600,,,
,V1,V2,V3
1,1979,3,1210.65
2,1980,17,34684.59
3,1981,0,0
4,1982,2,470
5,1983,1,0
6,1984,9,24217.24
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,2,0
11,1989,2,1376.29
12,1990,1,2671.83
13,1991,6,37528.61
14,1992,48,518470.4
15,1993,3,0
16,1994,2,0
17,1995,1,0
18,1996,8,62081.83
19,1997,1,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,18318.25
26,2004,0,0
27,2005,1,0
28,2006,4,7136.56
29,2007,7,71340.09
30,2008,0,0
31,2009,0,0
32,2010,4,18476.65
33,2011,37,607854.58
34,2012,60,3362167.6
35,2013,0,0
36,2014,0,0
37,2015,1,0
38,2016,0,0
39,2017,0,0
40,2018,6,161537.68
41,2019,0,0
42,2020,0,0
43,2021,2,113029.51
