,V1,V2,V3
1,1979,6,9071.26
2,1980,2,1717.95
3,1981,1,601
4,1982,1,0
5,1983,2,3347
6,1984,2,2204.03
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,0,0
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,1,0
19,1997,2,0
20,1998,0,0
21,1999,10,110735.58
22,2000,0,0
23,2001,0,0
24,2002,1,0
25,2003,0,0
26,2004,0,0
27,2005,6,84238.31
28,2006,0,0
29,2007,6,18496.05
30,2008,0,0
31,2009,1,0
32,2010,1,10342.41
33,2011,11,241543.87
34,2012,7,1973025.04
35,2013,2,9019.19
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,35,796185.13
