,V1,V2,V3
1,1979,170,411990.81
2,1980,122,148304.69
3,1981,14,20505.39
4,1982,11,8044.67
5,1983,24,21135.36
6,1984,13,3854.64
7,1985,1,0
8,1986,1,0
9,1987,0,0
10,1988,9,10809.61
11,1989,1,0
12,1990,0,0
13,1991,1,2004.44
14,1992,20,47139.78
15,1993,2,440
16,1994,11,15273.18
17,1995,0,0
18,1996,12,21685.75
19,1997,0,0
20,1998,1,2171.72
21,1999,4,7338.84
22,2000,1,1153.76
23,2001,3,367.61
24,2002,3,758.66
25,2003,2,0
26,2004,5,1134.08
27,2005,1,0
28,2006,1,0
29,2007,26,87967.87
30,2008,1,1774.88
31,2009,3,0
32,2010,17,46438.56
33,2011,156,715270.38
34,2012,945,48346852.38
35,2013,1,0
36,2014,4,0
37,2015,2,0
38,2016,0,0
39,2017,2,2498.4
40,2018,3,871.42
41,2019,0,0
42,2020,2,0
43,2021,42,279946.61
