9009194100,,,
,V1,V2,V3
1,1979,19,17771.03
2,1980,10,23951.01
3,1981,0,0
4,1982,23,32222.1
5,1983,2,5350
6,1984,6,1137.07
7,1985,79,820021.23
8,1986,1,0
9,1987,1,0
10,1988,5,3927
11,1989,9,17010.8
12,1990,2,12164.6
13,1991,9,37602.6
14,1992,37,264298.33
15,1993,0,0
16,1994,0,0
17,1995,2,5268.55
18,1996,5,4355.3
19,1997,0,0
20,1998,3,65425.97
21,1999,2,0
22,2000,2,0
23,2001,2,2204.79
24,2002,1,33754.29
25,2003,1,0
26,2004,0,0
27,2005,2,146134.64
28,2006,1,0
29,2007,4,163515.06
30,2008,0,0
31,2009,0,0
32,2010,11,67071.24
33,2011,170,6396301.88
34,2012,102,2379592.98
35,2013,1,24553.72
36,2014,2,31847.27
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,3,11967.96
41,2019,1,0
42,2020,0,0
43,2021,8,360803.88
