,V1,V2,V3
1,1979,113,323457.98
2,1980,101,210861.43
3,1981,20,44787.98
4,1982,11,3450.18
5,1983,25,33569.73
6,1984,19,7473.65
7,1985,2,0
8,1986,0,0
9,1987,0,0
10,1988,9,3233.9
11,1989,1,2548.57
12,1990,0,0
13,1991,0,0
14,1992,59,297074.39
15,1993,1,0
16,1994,0,0
17,1995,0,0
18,1996,10,26950.7
19,1997,0,0
20,1998,1,0
21,1999,2,0
22,2000,1,3308.77
23,2001,1,0
24,2002,0,0
25,2003,1,1877.36
26,2004,3,12226.36
27,2005,1,0
28,2006,0,0
29,2007,20,116828.35
30,2008,0,0
31,2009,1,8596.46
32,2010,5,8474.12
33,2011,131,639228.13
34,2012,471,29808996.31
35,2013,1,0
36,2014,7,20374.8
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,0,0
41,2019,2,0
42,2020,0,0
43,2021,16,77403.78
