,V1,V2,V3
1,1979,2,320.3
2,1980,3,0
3,1981,0,0
4,1982,0,0
5,1983,1,0
6,1984,221,1007589.01
7,1985,41,102979.06
8,1986,1,0
9,1987,27,78864
10,1988,4,0
11,1989,6,559.85
12,1990,1,0
13,1991,123,676973.4
14,1992,442,8048353.38
15,1993,66,64814.72
16,1994,30,10343.68
17,1995,0,0
18,1996,28,190333.07
19,1997,0,0
20,1998,5,26574.96
21,1999,1,0
22,2000,2,2071.64
23,2001,0,0
24,2002,1,0
25,2003,0,0
26,2004,0,0
27,2005,9,155565.33
28,2006,1,5278.05
29,2007,6,99893.98
30,2008,0,0
31,2009,6,8467.76
32,2010,31,557044.57
33,2011,125,3066157.01
34,2012,623,66712244.1
35,2013,4,1440.11
36,2014,1,0
37,2015,0,0
38,2016,5,7696.93
39,2017,7,132432.4
40,2018,3,39843.36
41,2019,1,0
42,2020,0,0
43,2021,4,74439.88
