,V1,V2,V3
1,1979,0,0
2,1980,1,1951
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,1,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,19,48091.23
11,1989,2,0
12,1990,2,464.11
13,1991,0,0
14,1992,6,5545.01
15,1993,2,0
16,1994,2,1371.25
17,1995,1,0
18,1996,1,0
19,1997,1,2417.12
20,1998,1,0
21,1999,1,0
22,2000,1,0
23,2001,0,0
24,2002,1,0
25,2003,0,0
26,2004,1,0
27,2005,2,80000
28,2006,0,0
29,2007,2,30195.49
30,2008,0,0
31,2009,1,0
32,2010,4,9736.78
33,2011,65,601088.32
34,2012,668,28383187.2
35,2013,3,0
36,2014,1,0
37,2015,0,0
38,2016,1,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,7,12432.09
